PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS
1630639,A.J. Lawson,1610612761,TOR,14,7.9,3.5,1.6,0.2,0.3,0.2,0.3,0.39,0.364,1.0,-2.2
1631260,AJ Green,1610612749,MIL,59,29.7,9.9,2.5,1.9,0.5,0.1,0.8,0.416,0.406,0.805,-0.6
1642358,AJ Johnson,1610612742,DAL,36,9.0,2.9,1.2,0.9,0.2,0.0,0.6,0.317,0.214,0.818,-0.7
203932,Aaron Gordon,1610612743,DEN,24,27.6,17.0,6.0,2.5,0.7,0.2,1.0,0.5,0.389,0.784,7.6
1628988,Aaron Holiday,1610612745,HOU,41,13.1,5.6,0.9,0.9,0.4,0.1,0.6,0.409,0.372,0.865,1.0
1630174,Aaron Nesmith,1610612754,IND,36,29.1,12.4,4.5,2.0,0.6,0.6,1.4,0.378,0.353,0.811,-3.7
1630598,Aaron Wiggins,1610612760,OKC,50,23.6,10.3,3.4,1.9,1.0,0.5,1.3,0.428,0.358,0.75,3.7
1642846,Ace Bailey,1610612762,UTA,57,26.9,12.4,4.0,1.7,0.9,0.5,1.4,0.441,0.338,0.742,-6.1
1641737,Adem Bona,1610612755,PHI,54,17.1,4.6,4.2,0.4,0.4,1.2,0.8,0.61,0.4,0.675,-0.1
1642876,Adou Thiero,1610612747,LAL,18,5.7,1.6,1.1,0.3,0.3,0.1,0.2,0.476,0.0,0.8,0.0
1642349,Ajay Mitchell,1610612760,OKC,43,26.2,14.1,3.5,3.7,1.4,0.3,1.6,0.487,0.35,0.87,9.3
201143,Al Horford,1610612744,GSW,41,21.8,8.3,5.0,2.6,0.7,1.1,1.0,0.434,0.364,0.846,0.0
1627936,Alex Caruso,1610612760,OKC,43,18.5,6.4,2.7,2.0,1.4,0.3,0.9,0.426,0.312,0.775,6.9
1642259,Alex Sarr,1610612764,WAS,42,27.9,16.9,7.7,2.8,0.8,2.0,1.7,0.495,0.336,0.691,-6.9
1642918,Alijah Martin,1610612761,TOR,14,7.0,2.4,1.0,0.6,0.4,0.2,0.2,0.333,0.154,0.833,-0.6
1631214,Alondes Williams,1610612764,WAS,4,25.2,11.0,6.3,3.0,0.8,0.8,1.3,0.615,0.357,0.875,8.8
1630578,Alperen Sengun,1610612745,HOU,56,33.6,20.4,9.0,6.1,1.3,1.1,3.4,0.504,0.284,0.692,2.4
1642873,Amari Williams,1610612738,BOS,17,6.9,1.3,1.8,0.4,0.1,0.5,0.4,0.438,0.0,0.667,-2.2
1641708,Amen Thompson,1610612745,HOU,61,37.1,17.6,7.7,5.3,1.5,0.6,2.5,0.518,0.204,0.77,4.6
1629599,Amir Coffey,1610612756,PHX,40,10.4,3.1,1.3,0.6,0.2,0.1,0.1,0.478,0.317,0.786,-1.4
203083,Andre Drummond,1610612755,PHI,48,19.5,6.6,8.5,1.0,0.6,0.8,1.0,0.486,0.333,0.616,-2.6
1641748,Andre Jackson Jr.,1610612749,MIL,33,6.2,1.3,1.1,0.8,0.2,0.1,0.4,0.237,0.176,0.9,-0.7
1629614,Andrew Nembhard,1610612754,IND,50,31.1,16.9,2.8,7.3,0.9,0.1,2.5,0.441,0.359,0.811,-7.5
203952,Andrew Wiggins,1610612748,MIA,57,31.0,15.9,5.1,2.8,1.1,1.0,1.6,0.474,0.399,0.788,0.8
1629014,Anfernee Simons,1610612741,CHI,55,24.9,14.3,2.5,2.4,0.5,0.1,1.2,0.44,0.385,0.896,1.8
1641710,Anthony Black,1610612753,ORL,60,30.7,15.3,3.9,3.8,1.4,0.7,2.1,0.451,0.339,0.73,0.1
203076,Anthony Davis,1610612764,WAS,20,31.3,20.4,11.1,2.8,1.1,1.7,2.1,0.506,0.27,0.728,-2.5
1630162,Anthony Edwards,1610612750,MIN,54,35.6,29.6,5.1,3.6,1.4,0.8,2.8,0.495,0.409,0.791,3.5
1630264,Anthony Gill,1610612764,WAS,36,12.5,4.0,2.3,0.9,0.4,0.3,0.6,0.594,0.32,0.714,-2.3
1641810,Antonio Reeves,1610612766,CHA,9,7.3,3.0,0.9,0.2,0.1,0.0,0.1,0.5,0.538,0.0,3.0
1630574,Ariel Hukporti,1610612752,NYK,46,8.8,1.9,2.8,0.5,0.2,0.5,0.6,0.559,0.25,0.75,0.3
1642854,Asa Newell,1610612737,ATL,40,11.1,5.0,2.0,0.5,0.4,0.3,0.5,0.537,0.391,0.56,-0.8
1641709,Ausar Thompson,1610612765,DET,57,25.6,10.2,5.9,2.9,1.9,0.9,1.4,0.522,0.273,0.578,4.5
1630559,Austin Reaves,1610612747,LAL,38,33.5,23.5,4.7,5.4,1.1,0.4,3.1,0.495,0.373,0.876,2.1
1630245,Ayo Dosunmu,1610612750,MIN,56,26.3,14.2,2.8,3.4,0.8,0.3,1.3,0.511,0.438,0.863,-2.3
1628389,Bam Adebayo,1610612748,MIA,57,31.5,18.9,9.8,2.9,1.1,0.7,1.7,0.447,0.33,0.774,5.6
1631248,Baylor Scheierman,1610612738,BOS,59,16.5,4.8,3.2,1.2,0.6,0.1,0.5,0.466,0.389,0.889,3.1
1642879,Ben Saraf,1610612751,BKN,27,16.9,5.0,1.4,2.7,0.7,0.1,1.9,0.353,0.241,0.757,-3.6
1641767,Ben Sheppard,1610612754,IND,53,21.6,6.9,3.0,1.8,0.6,0.1,0.6,0.412,0.347,0.756,-5.0
1631097,Bennedict Mathurin,1610612746,LAC,39,31.1,17.9,5.7,2.3,0.8,0.3,2.2,0.427,0.33,0.872,-3.6
1641731,Bilal Coulibaly,1610612764,WAS,43,26.1,10.4,4.3,2.5,1.4,0.9,1.4,0.41,0.289,0.732,-6.1
202687,Bismack Biyombo,1610612759,SAS,19,5.7,0.8,0.8,0.3,0.2,0.1,0.3,0.667,0.0,0.8,-2.9
1642396,Blake Hinson,1610612762,UTA,7,19.8,9.0,2.4,0.7,0.0,0.1,0.1,0.489,0.455,0.5,-1.9
1631104,Blake Wesley,1610612757,POR,21,13.9,5.5,1.4,2.5,0.8,0.1,1.2,0.449,0.333,0.545,-3.8
1626171,Bobby Portis,1610612749,MIL,61,24.0,13.3,6.3,1.5,0.5,0.2,1.0,0.495,0.46,0.724,-3.6
1641752,Bobi Klintman,1610612765,DET,11,6.3,1.8,1.6,0.5,0.3,0.0,0.5,0.308,0.308,0.0,-0.5
203992,Bogdan Bogdanović,1610612746,LAC,18,21.6,7.7,2.9,2.7,0.6,0.1,1.3,0.367,0.321,0.826,-1.4
1630538,Bones Hyland,1610612750,MIN,55,14.8,7.1,1.7,2.5,0.5,0.2,0.9,0.452,0.38,0.725,1.2
203078,Bradley Beal,1610612746,LAC,6,20.2,8.2,0.8,1.7,0.5,0.0,1.5,0.375,0.368,0.75,-3.8
1642382,Branden Carlson,1610612760,OKC,35,10.8,4.9,2.6,0.6,0.2,0.5,0.4,0.522,0.344,0.529,0.7
1641764,Brandin Podziemski,1610612744,GSW,63,27.8,12.7,5.2,3.7,1.1,0.2,1.5,0.448,0.363,0.77,1.0
1629634,Brandon Clarke,1610612763,MEM,2,10.2,4.0,3.0,0.5,1.0,0.0,0.0,0.333,0.0,0.5,-6.0
1627742,Brandon Ingram,1610612761,TOR,61,34.0,21.7,5.7,3.8,0.8,0.8,2.5,0.47,0.37,0.822,0.4
1641706,Brandon Miller,1610612766,CHA,48,30.0,20.6,5.0,3.4,1.1,0.8,2.9,0.433,0.378,0.886,4.2
1630314,Brandon Williams,1610612742,DAL,55,22.2,13.1,2.9,3.8,0.9,0.3,1.9,0.471,0.243,0.777,-1.1
1641729,Brice Sensabaugh,1610612762,UTA,61,22.1,12.7,3.0,1.6,0.7,0.1,1.2,0.439,0.338,0.834,-3.6
1642355,Bronny James,1610612747,LAL,31,7.2,2.1,0.5,1.2,0.4,0.1,0.5,0.397,0.414,0.8,-0.6
201572,Brook Lopez,1610612746,LAC,56,19.8,7.7,3.1,1.1,0.6,1.0,0.8,0.411,0.349,0.841,0.3
1642964,Brooks Barnhizer,1610612760,OKC,33,7.8,1.4,1.7,0.5,0.2,0.1,0.2,0.38,0.294,0.667,-1.8
1628971,Bruce Brown,1610612743,DEN,64,25.2,7.6,4.0,2.2,1.1,0.2,1.1,0.465,0.364,0.763,-1.6
1631121,Bryce McGowens,1610612740,NOP,42,21.0,8.1,2.1,1.5,0.6,0.2,0.4,0.481,0.409,0.779,-1.7
1642267,Bub Carrington,1610612764,WAS,63,27.5,9.8,3.6,4.5,0.7,0.2,2.3,0.396,0.393,0.741,-8.6
1631205,Buddy Boeheim,1610612760,OKC,4,3.8,1.5,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,1.5
1627741,Buddy Hield,1610612737,ATL,45,17.2,7.9,2.4,1.5,0.8,0.2,1.0,0.432,0.342,0.794,-2.0
203468,CJ McCollum,1610612737,ATL,59,29.9,18.7,3.4,3.7,0.8,0.4,1.8,0.452,0.376,0.784,-1.3
1630595,Cade Cunningham,1610612765,DET,56,35.2,25.2,5.7,9.8,1.4,0.9,3.8,0.456,0.343,0.813,7.1
1631216,Caleb Houstan,1610612737,ATL,12,4.5,1.9,0.5,0.2,0.1,0.1,0.3,0.467,0.5,1.0,-0.6
1631126,Caleb Love,1610612757,POR,45,22.2,11.3,2.5,2.7,0.6,0.1,1.4,0.39,0.321,0.735,-2.6
1628997,Caleb Martin,1610612742,DAL,55,14.9,3.9,2.5,1.4,0.7,0.2,0.7,0.458,0.365,0.579,-3.0
1642353,Cam Christie,1610612746,LAC,43,9.4,3.1,1.5,0.6,0.3,0.1,0.4,0.379,0.267,0.75,-0.4
1642285,Cam Spencer,1610612763,MEM,60,23.8,11.4,2.7,5.5,0.7,0.1,1.3,0.478,0.443,0.93,-0.3
1630560,Cam Thomas,1610612749,MIL,37,21.8,14.5,1.8,2.7,0.2,0.1,1.8,0.411,0.319,0.831,-4.7
1641715,Cam Whitmore,1610612764,WAS,21,16.9,9.2,2.8,0.7,0.7,0.4,0.9,0.456,0.286,0.742,-7.2
1629661,Cameron Johnson,1610612743,DEN,38,30.6,11.2,3.8,2.4,0.6,0.3,0.9,0.448,0.405,0.84,4.9
1626166,Cameron Payne,1610612755,PHI,9,13.6,3.6,1.0,2.2,1.2,0.1,0.3,0.283,0.188,0.0,-2.2
1627747,Caris LeVert,1610612765,DET,45,19.3,7.2,1.8,2.6,0.9,0.6,1.4,0.418,0.331,0.683,0.4
1642868,Carter Bryant,1610612759,SAS,53,10.0,3.5,2.3,0.4,0.2,0.3,0.4,0.374,0.34,0.667,-0.3
1641717,Cason Wallace,1610612760,OKC,62,27.5,8.9,3.1,2.7,2.1,0.3,1.0,0.43,0.346,0.786,6.6
1642907,Cedric Coward,1610612763,MEM,50,26.1,13.4,6.2,2.8,0.6,0.4,1.8,0.466,0.339,0.846,1.0
1629646,Charles Bassey,1610612755,PHI,3,11.7,3.0,5.0,0.7,0.3,0.7,0.3,0.444,0.0,0.333,-5.0
1642404,Chaz Lanier,1610612765,DET,22,8.2,2.8,0.9,0.6,0.2,0.0,0.1,0.35,0.319,1.0,1.2
1631096,Chet Holmgren,1610612760,OKC,56,29.3,17.3,9.0,1.8,0.5,1.9,1.6,0.552,0.356,0.784,8.7
1628449,Chris Boucher,1610612738,BOS,9,10.5,2.3,2.0,0.3,0.6,0.8,0.1,0.32,0.133,0.75,0.6
1641753,Chris Livingston,1610612739,CLE,3,5.8,3.0,1.0,0.3,0.3,0.0,0.0,0.571,0.0,1.0,2.7
