PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,PLUS_MINUS
1631260,AJ Green,1610612749,MIL,17,28.6,11.0,2.6,1.8,0.4,0.1,0.8,0.48,0.482,0.789,1.2
1642358,AJ Johnson,1610612764,WAS,8,4.7,0.9,0.6,0.5,0.0,0.0,0.1,0.182,0.0,0.75,-1.6
203932,Aaron Gordon,1610612743,DEN,13,28.3,18.8,5.9,1.3,0.8,0.2,1.4,0.532,0.444,0.867,12.7
1628988,Aaron Holiday,1610612745,HOU,9,10.1,5.8,0.4,0.8,0.2,0.1,0.6,0.536,0.421,0.933,2.3
1630174,Aaron Nesmith,1610612754,IND,11,30.4,15.5,4.5,1.5,0.8,0.3,0.7,0.367,0.373,0.795,-3.9
1630598,Aaron Wiggins,1610612760,OKC,9,27.6,14.8,3.7,2.2,0.4,0.8,1.0,0.459,0.417,0.667,10.0
1642846,Ace Bailey,1610612762,UTA,16,21.1,9.2,3.4,1.7,0.8,0.1,1.3,0.438,0.328,0.824,-5.8
1641737,Adem Bona,1610612755,PHI,12,14.8,2.2,3.4,0.3,0.4,1.7,0.6,0.45,0.0,0.5,-2.6
1642876,Adou Thiero,1610612747,LAL,2,4.1,3.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-2.5
1642349,Ajay Mitchell,1610612760,OKC,18,27.7,16.1,3.7,3.8,1.8,0.3,1.8,0.461,0.338,0.892,9.9
201143,Al Horford,1610612744,GSW,12,21.8,5.8,4.3,1.8,1.0,1.0,1.3,0.343,0.32,1.0,-4.4
1627936,Alex Caruso,1610612760,OKC,13,18.2,5.8,2.1,2.7,1.7,0.3,0.8,0.403,0.364,0.75,12.2
1642259,Alex Sarr,1610612764,WAS,14,28.9,18.1,8.4,3.6,0.6,2.0,2.3,0.507,0.348,0.683,-8.5
1630578,Alperen Sengun,1610612745,HOU,14,36.8,22.7,10.0,7.3,1.2,0.9,3.5,0.485,0.436,0.743,9.0
1642873,Amari Williams,1610612738,BOS,2,3.4,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,4.5
1641708,Amen Thompson,1610612745,HOU,14,36.4,17.2,6.4,5.0,1.6,0.4,2.2,0.475,0.219,0.764,8.9
1629599,Amir Coffey,1610612749,MIL,14,9.3,1.7,1.0,0.6,0.0,0.1,0.1,0.45,0.333,1.0,-2.1
203083,Andre Drummond,1610612755,PHI,15,24.3,8.6,10.6,0.7,0.8,0.9,0.9,0.565,0.4,0.607,2.4
1641748,Andre Jackson Jr.,1610612749,MIL,7,7.3,0.9,0.9,1.6,0.6,0.1,0.6,0.25,0.25,0.5,-0.3
1629614,Andrew Nembhard,1610612754,IND,9,29.6,19.0,1.7,6.4,0.4,0.2,2.6,0.422,0.347,0.939,-10.7
203952,Andrew Wiggins,1610612748,MIA,15,33.0,16.7,4.9,2.8,1.1,0.9,2.0,0.481,0.365,0.649,-0.3
1629014,Anfernee Simons,1610612738,BOS,17,24.9,14.4,2.4,2.6,0.5,0.2,1.4,0.448,0.411,0.862,-0.1
1641710,Anthony Black,1610612753,ORL,18,27.1,11.8,3.0,2.7,1.4,0.6,2.0,0.467,0.317,0.69,-1.1
203076,Anthony Davis,1610612742,DAL,5,29.9,20.8,10.2,2.2,1.6,1.2,2.2,0.52,0.273,0.742,-5.4
1630162,Anthony Edwards,1610612750,MIN,12,31.6,26.5,4.3,3.5,1.5,0.7,2.5,0.465,0.374,0.841,5.6
1630264,Anthony Gill,1610612764,WAS,6,3.0,2.2,0.8,0.0,0.0,0.0,0.3,0.8,1.0,1.0,-1.2
1641810,Antonio Reeves,1610612766,CHA,2,10.5,4.5,1.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,7.0
1630574,Ariel Hukporti,1610612752,NYK,9,6.6,1.0,2.1,0.6,0.1,0.2,0.6,0.5,0.0,0.5,-2.0
1642854,Asa Newell,1610612737,ATL,11,8.1,4.3,1.6,0.1,0.4,0.3,0.4,0.485,0.471,0.778,-0.3
1641709,Ausar Thompson,1610612765,DET,12,28.5,12.6,5.8,2.9,1.8,0.9,1.2,0.508,0.308,0.487,3.8
1630559,Austin Reaves,1610612747,LAL,13,36.4,27.6,5.5,7.3,1.3,0.1,3.4,0.484,0.311,0.872,6.1
1630245,Ayo Dosunmu,1610612741,CHI,14,26.1,15.6,2.6,3.1,0.5,0.3,1.3,0.549,0.473,0.857,-0.1
1628389,Bam Adebayo,1610612748,MIA,11,30.3,19.5,8.4,2.9,0.9,0.6,1.8,0.457,0.367,0.849,9.5
1631248,Baylor Scheierman,1610612738,BOS,13,10.3,3.0,2.0,0.5,0.2,0.2,0.2,0.583,0.526,1.0,1.5
1642879,Ben Saraf,1610612751,BKN,7,13.8,3.3,1.9,2.4,0.3,0.0,1.3,0.259,0.231,0.75,-3.1
1641767,Ben Sheppard,1610612754,IND,16,25.7,6.6,4.5,2.0,0.7,0.2,0.6,0.322,0.206,0.824,-9.0
1631097,Bennedict Mathurin,1610612754,IND,5,33.9,26.4,7.2,2.2,0.6,0.2,2.6,0.507,0.387,0.815,-7.0
1641731,Bilal Coulibaly,1610612764,WAS,8,25.4,9.6,3.9,3.3,1.0,1.0,1.6,0.387,0.308,0.808,-9.0
202687,Bismack Biyombo,1610612759,SAS,6,7.6,0.3,1.0,0.3,0.5,0.2,0.3,0.5,0.0,0.0,-4.3
1631104,Blake Wesley,1610612757,POR,6,16.3,6.0,2.3,3.2,1.7,0.2,1.2,0.412,0.2,0.6,-1.3
1626171,Bobby Portis,1610612749,MIL,17,21.5,10.8,5.8,1.1,0.4,0.1,1.1,0.5,0.472,0.714,-3.4
1641752,Bobi Klintman,1610612765,DET,6,8.8,2.8,2.7,0.7,0.3,0.0,0.8,0.333,0.273,0.0,-2.7
203992,Bogdan Bogdanović,1610612746,LAC,9,25.6,9.2,3.4,3.3,0.8,0.1,1.4,0.373,0.34,0.846,2.9
1630538,Bones Hyland,1610612750,MIN,13,9.1,3.9,1.2,1.4,0.5,0.0,0.6,0.488,0.32,0.75,0.3
203078,Bradley Beal,1610612746,LAC,6,20.2,8.2,0.8,1.7,0.5,0.0,1.5,0.375,0.368,0.75,-3.8
1642382,Branden Carlson,1610612760,OKC,13,8.4,3.8,1.8,0.6,0.2,0.6,0.2,0.488,0.3,0.6,-0.1
1641764,Brandin Podziemski,1610612744,GSW,18,28.7,12.4,4.6,2.9,1.2,0.3,1.3,0.438,0.379,0.778,1.6
1627742,Brandon Ingram,1610612761,TOR,17,33.2,20.7,5.8,4.0,1.1,0.7,2.8,0.485,0.296,0.885,2.6
1641706,Brandon Miller,1610612766,CHA,3,21.8,16.7,0.3,3.7,0.7,0.7,1.0,0.419,0.19,0.769,-0.3
1630314,Brandon Williams,1610612742,DAL,16,22.0,10.9,2.8,3.9,1.6,0.3,2.1,0.396,0.188,0.825,-0.4
1641729,Brice Sensabaugh,1610612762,UTA,15,14.9,8.3,2.6,1.1,0.5,0.1,0.9,0.408,0.333,0.941,-4.7
1642355,Bronny James,1610612747,LAL,10,11.1,2.1,0.9,1.8,0.8,0.1,0.8,0.296,0.273,1.0,-0.5
201572,Brook Lopez,1610612746,LAC,17,14.4,6.3,1.9,0.5,0.3,0.8,0.8,0.404,0.359,0.727,-3.1
1642964,Brooks Barnhizer,1610612760,OKC,15,7.5,1.4,2.1,0.3,0.1,0.1,0.1,0.529,0.5,0.5,-2.7
1628971,Bruce Brown,1610612743,DEN,16,22.9,6.5,3.9,1.6,0.9,0.2,0.8,0.424,0.321,0.81,1.4
1631121,Bryce McGowens,1610612740,NOP,7,9.0,3.9,0.7,0.4,0.4,0.1,0.1,0.444,0.0,0.786,-0.6
